Area_sqft,Bedrooms,Bathrooms,Floors,Parking,Age,Location_Score,Distance_to_City_km,House_Price
1658,3,3,3,2,16,8.1,3.6,9268000
2259,3,3,2,3,8,7.2,7.5,12059000
1637,4,4,2,2,33,4.1,8.0,7018000
2405,3,3,3,2,14,9.8,12.7,12676000
2300,3,3,1,2,8,7.3,14.5,10907000
1530,2,2,3,1,26,5.8,2.8,7676000
550,2,2,2,1,34,5.0,24.0,1462000
2201,4,4,2,3,32,6.8,9.4,11320000
1598,2,2,1,3,23,7.0,22.8,6761000
2166,3,3,3,2,27,4.1,7.4,9942000
1211,3,2,2,0,25,6.7,14.0,6876000
1740,3,3,2,2,8,3.7,13.2,8067000
1485,2,2,3,2,0,9.2,16.8,8975000
2760,6,6,3,1,18,5.0,25.4,11362000
2182,4,3,1,3,34,3.6,6.8,8744000
2276,4,3,3,2,5,6.8,17.8,9949000
3086,6,6,1,3,30,3.8,6.9,13370000
1839,3,3,2,1,21,4.3,5.4,8153000
2323,3,3,3,3,11,8.6,23.2,11107000
1327,2,1,1,1,19,6.7,13.5,6502000
1794,4,3,2,2,22,8.9,21.8,8909000
1680,4,4,3,3,21,9.6,24.4,8433000
1868,4,3,3,1,27,7.3,15.9,8284000
1735,4,4,3,3,10,7.8,14.6,9864000
2003,4,4,3,2,3,4.0,7.7,9771000
2159,3,2,3,1,8,3.9,2.0,10323000
1239,3,3,1,1,28,9.5,3.8,8793000
1136,3,3,2,1,7,3.7,8.1,6359000
2572,3,3,2,3,13,9.8,8.5,14807000
1518,2,2,2,3,5,8.6,12.2,10296000
1463,3,3,1,1,19,8.9,8.2,7708000
1101,2,1,1,1,15,8.5,2.5,8015000
1985,4,4,2,1,4,5.4,23.2,8546000
751,1,1,2,0,28,6.4,10.1,3837000
1812,3,2,3,1,7,6.8,10.6,9708000
2276,4,3,2,2,35,5.2,10.0,8962000
1215,2,2,1,1,10,7.7,10.2,6652000
2309,3,2,1,2,13,8.3,4.5,11047000
2314,4,4,2,2,30,5.0,14.5,8922000
899,1,1,2,2,29,4.8,15.1,3329000
1500,3,3,2,3,8,8.3,8.7,9477000
1867,4,3,2,1,3,5.3,15.6,8373000
2447,3,2,2,2,12,8.3,3.6,12588000
1291,2,1,2,2,15,4.9,12.0,5906000
2017,4,4,3,2,34,3.6,14.9,7958000
1793,4,4,1,3,3,7.1,18.7,9468000
2625,4,4,3,2,7,4.3,17.6,11288000
2677,5,3,2,3,32,3.8,11.3,11315000
2098,4,4,3,2,32,4.4,17.6,8065000
1146,3,3,2,2,19,6.5,18.0,6207000
1910,3,3,2,1,30,5.2,1.5,8011000
1438,2,2,3,1,33,7.5,9.6,6724000
997,2,2,1,0,7,4.7,5.2,5815000
1475,3,3,1,1,33,4.8,14.5,5476000
2703,6,6,2,2,29,9.2,8.4,14500000
1993,4,4,3,2,15,5.3,1.2,10439000
3327,5,5,2,3,20,6.5,1.2,15053000
1755,4,4,2,2,18,3.8,6.3,8685000
1776,4,4,2,3,13,4.8,1.2,9664000
1732,3,2,1,2,14,3.8,8.4,7050000
2385,3,3,2,1,35,9.7,17.6,11059000
2390,3,3,2,2,3,9.2,6.6,13751000
2302,3,2,3,2,2,9.8,5.5,13673000
3383,5,3,1,2,6,9.3,5.1,16096000
2465,4,3,3,2,12,8.6,6.5,14022000
1232,2,2,2,1,12,4.6,3.1,7241000
760,2,2,2,0,25,7.7,13.5,4824000
1631,4,4,2,3,17,9.5,16.7,9321000
2836,4,4,2,2,3,7.7,8.0,14193000
1274,3,3,1,1,23,7.4,1.2,8069000
2191,3,3,2,3,35,9.3,12.6,9543000
2353,3,3,3,2,4,9.3,1.5,14670000
2641,6,4,2,2,20,8.9,2.1,14755000
1694,4,3,3,2,32,6.1,4.1,8415000
1524,3,3,1,3,16,8.6,11.8,8204000
2423,3,3,1,1,30,3.7,13.8,7841000
2452,4,4,3,3,24,5.9,7.8,10789000
932,3,2,1,2,33,4.3,9.5,4636000
1685,3,3,3,3,34,5.9,13.0,8082000
2085,3,2,3,1,15,4.8,15.7,8646000
1950,3,2,1,3,28,5.0,14.9,8310000
2571,4,3,2,2,15,5.4,14.9,11304000
2598,3,3,2,2,3,7.0,2.4,12647000
2293,4,3,2,3,33,5.5,21.4,8377000
2035,4,3,3,2,14,5.4,8.7,9166000
2568,4,4,2,3,15,5.1,7.4,11714000
2080,4,4,1,2,3,5.2,7.6,9828000
2144,3,3,2,2,19,9.5,8.8,12743000
1997,3,3,3,2,13,6.0,12.4,9981000
1699,4,4,2,2,32,9.1,19.7,7716000
2098,4,4,2,2,20,6.1,7.4,10231000
2157,4,4,2,2,21,4.9,16.3,8725000
1642,4,4,3,3,29,4.6,13.2,7386000
1710,3,3,1,1,3,8.3,4.0,9541000
2503,3,2,2,1,13,6.7,5.2,12297000
1400,3,3,2,0,0,6.9,3.6,8991000
1913,4,4,2,1,32,8.6,6.2,9445000
2110,3,3,2,2,12,7.4,10.2,10570000
2458,4,3,2,3,29,7.1,17.0,10429000
1342,2,1,2,2,24,7.0,1.2,7842000
1880,3,2,3,3,21,7.1,14.0,8924000
1661,3,3,3,2,2,9.3,11.6,10285000
1366,2,1,2,0,13,7.2,12.2,6390000
1641,3,3,2,3,34,5.6,13.7,7103000
1493,2,2,2,0,6,6.3,15.4,6834000
2042,4,4,1,2,28,6.6,1.2,9733000
3067,5,3,3,1,18,8.5,11.3,13993000
2430,3,3,3,2,23,4.2,21.1,9160000
1868,4,4,1,2,5,4.7,3.6,10119000
1724,4,4,1,2,24,3.6,12.9,6589000
2432,3,3,2,3,10,4.4,9.4,11266000
2490,4,4,3,1,23,5.1,14.9,10331000
2760,6,6,2,3,6,4.4,19.0,12165000
2195,4,4,2,3,8,5.4,6.3,10510000
1244,3,3,1,2,20,5.3,9.2,6101000
1419,3,3,3,1,7,9.4,9.6,10077000
3972,4,4,1,3,13,6.3,9.2,17724000
2336,4,4,3,2,19,5.0,1.2,11118000
984,3,2,2,2,25,6.9,24.5,4220000
1695,4,4,1,1,15,7.6,12.9,8565000
2591,3,3,3,2,27,4.2,16.0,9879000
1833,3,3,2,3,29,8.4,3.1,9763000
1445,3,2,3,0,18,6.1,15.4,6761000
2184,4,4,3,2,33,6.5,10.6,9561000
1954,4,4,1,2,2,8.6,22.2,10561000
1265,2,2,1,1,35,4.5,3.6,4896000
1247,2,2,1,1,27,6.0,10.9,5090000
1195,2,2,1,1,17,8.2,14.3,6552000
1632,3,3,2,2,20,4.7,19.9,6804000
550,2,2,2,2,7,5.7,13.2,4506000
1106,3,3,1,1,20,4.2,10.5,5415000
1579,3,3,2,3,27,4.7,4.2,7480000
1098,2,2,1,2,18,4.4,9.0,5557000
2428,3,3,2,2,24,9.6,14.2,10865000
1824,4,4,3,3,10,4.0,23.6,7775000
1713,4,3,3,3,35,6.7,17.4,7529000
1623,4,4,1,3,34,4.9,1.8,8569000
1571,2,2,2,2,5,6.3,7.7,9289000
1807,3,2,2,3,10,7.4,14.8,8342000
2138,4,4,2,2,18,5.3,3.5,10567000
3126,6,4,2,3,3,9.8,14.4,15553000
2178,4,3,3,3,9,7.1,8.0,11595000
2517,4,3,1,3,32,8.2,7.1,10697000
1128,2,2,1,2,22,8.9,14.3,6607000
1222,3,2,2,1,20,8.7,7.2,8365000
1164,3,3,1,0,6,7.4,8.7,7500000
1749,3,3,3,1,27,4.8,10.6,7492000
1625,4,3,2,2,5,5.8,8.7,9308000
1627,4,4,2,2,27,7.6,11.9,8665000
1506,2,2,3,1,0,7.9,12.5,9317000
550,2,2,1,2,4,4.9,22.7,3009000
2345,4,3,3,2,9,3.9,16.0,9205000
1504,2,2,2,2,9,9.3,6.4,9215000
2132,3,2,3,2,27,5.5,26.6,7601000
2252,3,2,2,1,19,4.8,8.5,9291000
1121,2,2,2,0,15,6.6,18.3,5050000
1406,2,2,2,1,24,8.9,5.9,8143000
1399,2,1,1,0,16,4.9,1.2,7679000
1109,3,3,2,2,27,7.9,19.5,6067000
1459,3,2,2,1,34,5.6,8.2,6156000
1279,2,2,2,1,3,5.0,15.1,6126000
1683,3,2,1,2,0,4.5,10.5,8572000
1619,4,3,2,2,17,8.1,23.1,8479000
1499,2,2,1,2,29,6.7,18.4,6571000
2289,3,3,2,2,6,9.1,10.4,11846000
1847,3,2,1,3,23,5.9,11.5,8776000
3067,4,4,3,2,20,5.1,17.3,11913000
2238,3,3,1,2,14,8.6,3.9,13338000
1662,3,3,2,2,20,4.0,5.5,7974000
1555,2,2,2,3,12,8.1,23.8,6695000
1515,2,1,3,1,14,6.9,4.9,7929000
2436,4,4,2,1,13,6.8,12.4,11411000
2604,4,3,2,1,2,9.3,18.8,12103000
1659,3,3,1,2,25,4.0,5.6,7047000
1562,2,1,2,2,20,9.3,1.7,10151000
1520,2,1,2,2,6,4.5,18.8,6363000
2475,4,3,2,2,28,5.4,11.7,10529000
2392,3,2,2,2,5,8.0,20.9,11216000
1721,3,3,2,2,11,3.7,5.7,8577000
1844,4,3,2,1,0,3.9,6.7,9345000
1397,2,2,2,0,16,9.3,33.4,6070000
2152,3,2,2,1,2,9.4,21.5,11554000
2311,4,4,3,3,1,5.9,6.1,12593000
2287,4,3,1,2,18,6.6,8.9,11164000
1351,2,2,2,1,26,4.8,18.4,4744000
1053,2,2,2,2,34,8.4,2.8,6757000
2547,4,4,2,2,1,5.5,14.9,12795000
1890,4,4,2,2,10,4.1,9.6,8876000
1423,2,1,3,1,11,4.6,1.4,7294000
1384,2,2,2,1,12,8.8,1.2,9707000
550,2,1,2,0,5,3.9,10.9,3423000
1271,2,1,2,1,20,3.9,12.9,5240000
2662,4,3,2,1,23,7.9,7.1,11793000
1553,2,2,3,3,20,4.6,17.3,6902000
1654,4,3,2,3,19,8.1,10.8,9715000
2861,6,6,1,2,20,9.3,12.1,14774000
1756,3,3,2,2,4,5.0,16.2,8109000
2060,4,4,1,2,13,5.1,10.0,9977000
2056,3,3,1,1,24,6.3,8.3,9377000
698,2,2,2,0,30,8.5,19.4,3674000
1334,2,1,2,0,2,5.4,4.8,8214000
2204,4,3,1,1,21,7.2,13.9,9434000
1361,2,2,1,2,10,3.8,2.8,7741000
1154,3,3,2,1,15,4.1,16.8,4868000
2361,4,3,1,2,0,6.2,9.2,12375000
1499,2,1,2,1,5,6.5,9.2,8428000
2606,5,5,2,1,34,5.9,7.3,11985000
1926,4,4,2,2,17,7.1,13.9,10095000
2666,4,3,2,3,14,7.0,19.0,10634000
1147,3,3,1,2,19,4.0,16.2,5189000
1259,2,1,2,1,10,9.6,13.3,7579000
550,2,1,1,1,20,9.2,21.7,3796000
1725,4,4,3,2,17,6.8,13.0,9174000
1584,3,2,3,2,9,7.1,3.1,8632000
1015,2,1,1,1,34,9.0,15.9,5009000
1373,3,2,1,1,25,4.4,4.5,6066000
1219,2,2,2,1,3,8.2,25.1,5930000
3039,5,5,2,3,6,9.6,13.6,15470000
2394,4,4,2,3,5,4.7,15.1,11677000
1787,4,3,2,1,19,8.0,1.2,9815000
2495,3,2,2,2,3,5.1,1.2,12423000
1703,4,4,3,1,1,5.0,6.6,9134000
1899,4,4,2,2,10,8.8,11.3,11914000
1979,3,2,2,2,14,7.8,12.9,9699000
2512,3,3,1,3,8,7.6,11.3,11891000
1832,4,4,2,3,24,8.9,24.7,8466000
1966,4,4,3,1,0,6.7,4.9,10507000
1189,3,3,1,2,4,5.6,19.2,5980000
2418,4,4,2,2,9,6.8,12.1,11866000
2589,4,4,2,2,1,7.6,2.0,14565000
1841,4,4,3,1,12,5.7,9.6,8859000
1373,3,3,2,1,35,4.6,5.9,6467000
2045,4,4,2,2,5,4.9,14.4,10561000
658,2,2,2,2,7,6.5,19.0,4574000
1209,2,2,1,0,24,6.8,1.2,7307000
3034,5,5,3,2,20,8.9,29.7,12850000
2091,4,4,2,2,3,3.5,10.3,10515000
2390,4,3,2,3,27,6.0,22.4,9713000
1711,3,3,2,2,0,9.1,12.4,9679000
1908,3,2,2,2,8,4.1,12.1,7980000
1838,3,2,2,2,29,8.1,6.8,9186000
3478,5,5,2,2,10,9.5,1.2,18564000
1525,2,1,2,2,1,7.2,15.3,8277000
1745,4,4,1,1,6,7.6,10.4,10546000
1973,4,4,3,1,35,5.1,10.6,8316000
1815,4,4,1,2,8,6.1,11.1,9830000
1387,2,2,1,0,31,4.8,13.7,5167000
1418,3,3,2,0,35,6.6,11.3,6772000
3308,5,3,1,1,5,9.2,17.3,13883000
2017,3,3,1,2,14,6.4,14.5,9429000
1777,3,2,2,1,18,5.8,8.7,8008000
2797,4,3,2,2,21,5.8,21.1,10057000
2195,3,3,2,2,7,6.0,17.4,9604000
895,2,2,1,0,8,7.9,21.0,5492000
2409,3,2,3,3,28,4.6,7.2,10487000
2821,6,4,3,3,7,9.1,13.9,14437000
1935,4,3,2,2,33,6.8,11.0,8791000
1591,3,3,3,2,35,9.1,7.5,9060000
1785,3,3,3,3,10,4.0,6.8,8961000
2055,3,3,3,3,15,4.0,11.6,8500000
2141,3,3,3,2,7,9.7,12.0,11777000
1705,3,2,2,2,29,9.5,13.1,8802000
2014,3,3,2,3,23,8.0,20.9,9499000
1954,4,4,2,1,2,9.2,18.3,9683000
1907,4,3,2,2,12,4.3,14.9,8126000
2040,4,3,3,1,7,8.4,7.9,10764000
2141,3,3,1,1,35,9.4,16.3,8981000
550,1,1,1,1,6,5.9,11.2,3561000
1055,3,3,1,1,25,9.6,19.6,6074000
2298,4,4,2,2,12,4.8,17.4,9561000
884,1,1,1,1,7,8.3,3.4,6604000
2807,6,6,2,3,0,6.8,8.1,15175000
1907,3,2,2,2,18,7.8,13.5,9415000
1944,3,3,3,1,35,8.9,7.4,9989000
1016,2,2,2,0,24,5.9,30.4,2846000
1533,2,2,2,2,28,8.7,20.2,7493000
1314,3,3,1,1,18,6.3,14.7,6420000
2880,4,4,1,3,17,7.0,9.3,13701000
2477,4,3,2,3,9,3.8,20.5,9360000
1984,4,4,2,1,20,6.8,2.3,11337000
1639,3,3,3,1,22,4.9,13.4,7607000
1557,3,3,1,1,22,6.3,15.8,7303000
1343,2,1,2,2,7,5.9,6.5,7438000
2875,5,5,3,3,2,5.4,5.1,14059000
1384,2,1,1,0,4,4.8,8.7,6392000
1362,2,2,2,0,9,3.6,1.2,6963000
1673,3,2,2,2,35,3.9,18.7,5009000
1254,3,3,2,0,24,7.7,16.2,6012000
1647,3,3,1,1,22,9.3,21.7,8234000
1762,4,4,3,1,30,4.5,14.8,7546000
2908,6,6,2,2,23,9.5,26.2,13141000
1969,4,4,1,2,13,8.2,13.6,10640000
1510,3,3,2,2,11,4.9,14.3,6998000
2337,3,3,3,1,18,7.7,23.4,9776000
2281,4,4,2,2,15,4.1,1.2,10216000
1556,3,3,2,2,20,9.5,19.0,8536000
2341,3,3,3,2,23,4.3,10.5,8717000
1253,3,3,1,1,5,8.8,13.5,8144000
1573,2,2,1,1,1,8.9,3.3,9273000
870,1,1,2,2,9,5.8,6.3,5722000
2952,6,6,2,3,32,6.7,5.4,14547000
1191,2,2,1,2,10,4.6,1.2,7370000
1547,2,2,3,2,2,4.9,9.5,8054000
1718,3,3,2,3,30,9.3,13.5,9194000
1724,4,3,2,2,34,7.1,7.1,9118000
666,1,1,2,2,14,6.8,4.2,5087000
2893,5,5,1,2,28,4.5,20.9,10963000
1950,4,4,1,2,26,8.6,16.4,9367000
1117,3,3,1,1,26,3.6,20.8,3701000
2335,3,3,2,1,10,5.1,20.4,9640000
3332,6,6,1,2,5,4.9,5.8,14771000
1395,3,3,1,1,32,5.2,12.6,5788000
1262,3,3,1,1,24,5.9,15.7,5840000
2339,4,3,1,2,30,9.2,5.6,10813000
1067,2,1,2,1,34,8.7,21.6,4533000
1382,3,2,2,1,30,8.5,5.1,7733000
2438,3,3,2,2,30,8.3,14.5,10602000
1186,3,2,1,0,33,4.2,6.9,5358000
1892,4,4,2,1,9,6.2,7.3,9909000
1033,3,3,2,1,26,7.0,10.0,6023000
1705,4,4,2,2,25,8.1,18.3,8035000
1840,3,2,2,3,21,8.5,4.4,9784000
1201,2,1,2,0,5,8.7,2.7,8546000
2281,4,3,1,3,25,7.4,14.9,9405000
1715,3,2,3,3,0,4.8,5.0,8807000
1811,3,3,2,1,23,5.0,13.8,7793000
1850,4,4,2,3,25,7.2,1.2,10550000
2106,4,4,2,2,17,4.9,13.3,9881000
1685,4,4,1,2,11,6.1,14.1,8600000
1417,3,3,2,2,24,7.0,28.3,5721000
764,2,2,2,0,30,4.2,21.0,2262000
2826,4,4,3,2,33,6.9,11.6,12065000
1365,3,2,2,1,4,7.0,14.6,7867000
2016,3,3,2,3,12,5.0,21.0,8247000
2359,3,2,2,2,9,8.4,14.1,11477000
2578,3,3,1,3,23,7.4,9.8,9877000
1940,4,4,2,2,25,4.9,9.9,8793000
2075,3,3,2,3,11,6.4,4.4,11357000
2389,4,4,1,1,13,5.9,17.3,10357000
2120,4,3,2,3,21,5.8,8.6,9761000
1853,4,4,3,2,28,4.6,18.2,7996000
1890,4,3,3,3,12,4.4,15.2,8923000
1756,3,2,3,3,8,9.8,16.9,9592000
1640,4,4,1,3,6,7.9,1.2,11833000
2288,4,4,1,3,21,5.1,6.3,11084000
2069,4,3,2,2,34,4.6,6.0,9072000
1252,3,3,2,0,24,7.4,1.2,8208000
2479,4,4,3,1,5,4.5,4.6,12043000
2412,4,4,2,3,17,9.1,15.2,10664000
1839,4,4,2,2,1,4.3,3.5,10107000
2342,3,2,2,3,6,4.1,19.3,8972000
2902,6,4,1,2,9,4.0,16.0,12428000
1580,2,1,2,3,8,4.3,12.9,6931000
1183,3,3,2,1,35,6.3,1.2,7482000
1658,3,3,3,3,33,7.5,1.2,9367000
1386,2,2,2,1,26,5.1,12.6,5819000
1858,3,3,2,3,34,3.6,27.0,5174000
1762,4,4,2,1,35,5.9,12.1,7441000
2288,4,3,2,3,24,4.9,20.6,9108000
690,2,2,2,2,12,8.9,10.7,6284000
2339,4,4,3,2,31,4.7,14.2,9550000
1443,2,2,2,1,28,8.1,11.0,7372000
2219,4,3,2,3,19,8.5,5.3,12018000
1795,3,2,1,2,25,3.9,10.3,6876000
1929,4,4,1,1,15,5.9,17.2,8473000
2282,3,3,2,3,24,7.8,11.8,10550000
2381,3,3,1,2,30,7.5,16.6,10720000
2148,3,2,3,2,0,4.6,8.3,10270000
2173,3,2,1,3,9,5.8,15.5,9556000
2607,6,4,1,2,9,7.9,17.3,12525000
1524,2,2,2,3,12,3.6,3.9,7939000
1849,4,4,2,3,12,7.1,14.0,9362000
1694,4,4,2,1,33,4.5,10.5,7605000
1833,4,4,2,1,23,8.4,12.2,9731000
2886,6,6,3,2,33,7.8,12.4,13162000
1712,4,3,1,1,2,8.8,19.0,9899000
2812,4,3,3,2,6,3.7,7.6,11822000
942,3,2,2,1,4,3.6,12.6,5332000
1398,2,2,1,1,35,8.2,22.0,5177000
1911,4,4,1,1,19,4.0,9.7,8420000
2618,4,4,2,3,12,4.7,7.0,11351000
2636,6,6,1,2,29,7.9,9.1,12626000
1984,3,3,3,2,10,6.9,1.2,10494000
2522,4,4,3,3,20,7.3,6.9,12252000
1675,4,4,3,3,25,3.5,17.6,7010000
2198,4,3,2,2,13,8.9,12.4,12506000
2014,4,4,2,1,2,6.4,15.1,10369000
2229,4,4,1,3,13,8.1,8.6,11571000
712,1,1,1,1,2,8.1,9.5,5642000
2897,5,5,3,1,14,8.2,16.1,14539000
638,2,1,2,0,20,6.9,16.9,3824000
1888,4,4,1,2,27,5.3,14.2,7911000
2063,3,3,1,3,16,4.0,1.2,9729000
2088,3,3,3,2,35,7.4,14.8,9155000
1363,2,2,2,1,5,4.2,6.3,7180000
2068,3,3,2,2,28,7.4,18.0,7928000
2389,3,2,2,2,5,4.2,28.1,8632000
3023,5,3,2,1,19,6.3,5.7,14027000
1913,3,2,2,3,9,7.9,8.7,9986000
2510,4,3,1,2,12,8.5,7.2,12525000
1705,3,2,3,2,23,8.9,26.0,7811000
1571,3,3,1,2,31,9.0,7.9,8429000
1767,4,4,1,1,15,9.3,9.3,10864000
1845,4,4,2,2,32,5.2,10.7,8576000
2040,4,3,2,2,9,5.7,9.0,10329000
1750,3,3,2,2,27,9.6,3.6,10793000
